"Kiribati","KIR",115847
"Korea, Dem. People’s Rep.","PRK",25549819
"Korea, Rep.","KOR",51635256
"Kosovo","XKX",1845300
"Kuwait","KWT",4137309
"Kyrgyz Republic","KGZ",6315800
"Lao PDR","LAO",7061507
"Late-demographic dividend","LTE",2288665963
"Latin America & Caribbean","LCN",641357515
"Latin America & Caribbean (excluding high income)","LAC",609013934
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",625569713
"Latvia","LVA",1926542
"Least developed countries: UN classification","LDC",1009662578
"Lebanon","LBN",6848925
"Lesotho","LSO",2108132
"Liberia","LBR",4818977
"Libya","LBY",6678567
"Liechtenstein","LIE",37910
"Lithuania","LTU",2789533
"Low & middle income","LMY",6383958209
"Low income","LIC",705417321
"Lower middle income","LMC",3022905169
"Luxembourg","LUX",607728
"Macao SAR, China","MAC",631636
"Madagascar","MDG",26262368
"Malawi","MWI",18143315
"Malaysia","MYS",31528585
"Maldives","MDV",515696
"Mali","MLI",19077690
"Malta","MLT",483530
"Marshall Islands","MHL",58413
"Mauritania","MRT",4403319
"Mauritius","MUS",1265303
"Mexico","MEX",126190788
"Micronesia, Fed. Sts.","FSM",112640
"Middle East & North Africa","MEA",448912859
"Middle East & North Africa (excluding high income)","MNA",382896715
"Middle East & North Africa (IDA & IBRD countries)","TMN",378327628
"Middle income","MIC",5678540888
"Moldova","MDA",3545883
"Monaco","MCO",38682
"Mongolia","MNG",3170208
"Montenegro","MNE",622345
"Morocco","MAR",36029138
"Mozambique","MOZ",29495962
"Myanmar","MMR",53708395
"Namibia","NAM",2448255
"Nauru","NRU",12704
"Nepal","NPL",28087871
"Netherlands","NLD",17231017
"New Caledonia","NCL",284060
"New Zealand","NZL",4885500
"Nicaragua","NIC",6465513
"Niger","NER",22442948
"Nigeria","NGA",195874740
"North America","NAC",364290258
"North Macedonia","MKD",2082958
"Northern Mariana Islands","MNP",56882
"Norway","NOR",5314336
"OECD members","OED",1303529456
"Oman","OMN",4829483
"Other small states","OSS",30758989
"Pacific island small states","PSS",2457367
"Pakistan","PAK",212215030
"Palau","PLW",17907
"Panama","PAN",4176873
"Papua New Guinea","PNG",8606316
"Paraguay","PRY",6956071
"Peru","PER",31989256
"Philippines","PHL",106651922
"Poland","POL",37978548
"Portugal","PRT",10281762
"Post-demographic dividend","PST",1109997273
"Pre-demographic dividend","PRE",919485393
"Puerto Rico","PRI",3195153
"Qatar","QAT",2781677
"Romania","ROU",19473936
"Russian Federation","RUS",144478050
"Rwanda","RWA",12301939
"Samoa","WSM",196130
"San Marino","SMR",33785
"Sao Tome and Principe","STP",211028
"Saudi Arabia","SAU",33699947
"Senegal","SEN",15854360
"Serbia","SRB",6982084
"Seychelles","SYC",96762
"Sierra Leone","SLE",7650154
"Singapore","SGP",5638676
"Sint Maarten (Dutch part)","SXM",40654
"Slovak Republic","SVK",5447011
"Slovenia","SVN",2067372
"Small states","SST",40575321
"Solomon Islands","SLB",652858
"Somalia","SOM",15008154
"South Africa","ZAF",57779622
"South Asia","SAS",1814388744
"South Asia (IDA & IBRD)","TSA",1814388744
"South Sudan","SSD",10975920
"Spain","ESP",46723749
"Sri Lanka","LKA",21670000
"St. Kitts and Nevis","KNA",52441
"St. Lucia","LCA",181889
"St. Martin (French part)","MAF",37264
"St. Vincent and the Grenadines","VCT",110210
"Sub-Saharan Africa","SSF",1078306520
"Sub-Saharan Africa (excluding high income)","SSA",1078209758
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",1078306520
"Sudan","SDN",41801533
"Suriname","SUR",575991
"Sweden","SWE",10183175
"Switzerland","CHE",8516543
"Syrian Arab Republic","SYR",16906283
"Tajikistan","TJK",9100837
"Tanzania","TZA",56318348
"Thailand","THA",69428524
"Timor-Leste","TLS",1267972
"Togo","TGO",7889094
"Tonga","TON",103197
"Trinidad and Tobago","TTO",1389858
"Tunisia","TUN",11565204
"Turkey","TUR",82319724
"Turkmenistan","TKM",5850908
"Turks and Caicos Islands","TCA",37665
"Tuvalu","TUV",11508
"Uganda","UGA",42723139
"Ukraine","UKR",44622516
"United Arab Emirates","ARE",9630959
"United Kingdom","GBR",66488991
"United States","USA",327167434
"Upper middle income","UMC",2655635719
"Uruguay","URY",3449299
"Uzbekistan","UZB",32955400
"Vanuatu","VUT",292680
"Venezuela, RB","VEN",28870195
"Vietnam","VNM",95540395
"Virgin Islands (U.S.)","VIR",106977
"West Bank and Gaza","PSE",4569087
"World","WLD",7594270356
"Yemen, Rep.","YEM",28498687
"Zambia","ZMB",17351822
"Zimbabwe","ZWE",14439018
